"","lon","lat","h"
"79",295.502183908046,-36.145,223
"80",295.518965517241,-36.145,214
"81",295.535747126437,-36.145,216
"82",295.552528735632,-36.145,201
"83",295.569310344828,-36.145,195
"84",295.586091954023,-36.145,190
"85",295.602873563218,-36.145,187
"86",295.619655172414,-36.145,190
"87",295.636436781609,-36.145,188
"88",295.653218390805,-36.145,179
"89",295.67,-36.145,170
"90",295.686781609195,-36.145,168
"91",295.703563218391,-36.145,172
"92",295.720344827586,-36.145,172
"93",295.737126436782,-36.145,168
"94",295.753908045977,-36.145,167
"95",295.770689655172,-36.145,168
"96",295.787471264368,-36.145,168
"97",295.804252873563,-36.145,168
"98",295.821034482759,-36.145,166
"99",295.837816091954,-36.145,163
"100",295.854597701149,-36.145,159
"101",295.871379310345,-36.145,156
"102",295.88816091954,-36.145,156
"103",295.904942528736,-36.145,157
"104",295.921724137931,-36.145,156
"105",295.938505747126,-36.145,156
"106",295.955287356322,-36.145,156
"107",295.972068965517,-36.145,155
"108",295.988850574713,-36.145,154
"109",296.005632183908,-36.145,153
"110",296.022413793103,-36.145,150
"111",296.039195402299,-36.145,149
"112",296.055977011494,-36.145,150
"113",296.07275862069,-36.145,150
"114",296.089540229885,-36.145,149
"115",296.10632183908,-36.145,147
"116",296.123103448276,-36.145,145
"117",296.139885057471,-36.145,145
"118",296.156666666667,-36.145,150
"119",295.183333333333,-36.1616666666667,241
"120",295.200114942529,-36.1616666666667,235
"121",295.216896551724,-36.1616666666667,230
"122",295.23367816092,-36.1616666666667,237
"123",295.250459770115,-36.1616666666667,242
"124",295.26724137931,-36.1616666666667,244
"125",295.284022988506,-36.1616666666667,243
"126",295.300804597701,-36.1616666666667,235
"127",295.317586206897,-36.1616666666667,239
"128",295.334367816092,-36.1616666666667,242
"129",295.351149425287,-36.1616666666667,242
"130",295.367931034483,-36.1616666666667,239
"131",295.384712643678,-36.1616666666667,237
"132",295.401494252874,-36.1616666666667,234
"133",295.418275862069,-36.1616666666667,232
"134",295.435057471264,-36.1616666666667,229
"135",295.45183908046,-36.1616666666667,227
"136",295.468620689655,-36.1616666666667,224
"137",295.485402298851,-36.1616666666667,223
"138",295.502183908046,-36.1616666666667,224
"139",295.518965517241,-36.1616666666667,219
"140",295.535747126437,-36.1616666666667,216
"141",295.552528735632,-36.1616666666667,212
"142",295.569310344828,-36.1616666666667,203
"143",295.586091954023,-36.1616666666667,196
"144",295.602873563218,-36.1616666666667,187
"145",295.619655172414,-36.1616666666667,182
"146",295.636436781609,-36.1616666666667,177
"147",295.653218390805,-36.1616666666667,167
"148",295.67,-36.1616666666667,161
"149",295.686781609195,-36.1616666666667,159
"150",295.703563218391,-36.1616666666667,171
"151",295.720344827586,-36.1616666666667,168
"152",295.737126436782,-36.1616666666667,166
"153",295.753908045977,-36.1616666666667,167
"154",295.770689655172,-36.1616666666667,168
"155",295.787471264368,-36.1616666666667,168
"156",295.804252873563,-36.1616666666667,167
"157",295.821034482759,-36.1616666666667,166
"158",295.837816091954,-36.1616666666667,163
"159",295.854597701149,-36.1616666666667,161
"160",295.871379310345,-36.1616666666667,161
"161",295.88816091954,-36.1616666666667,159
"162",295.904942528736,-36.1616666666667,157
"163",295.921724137931,-36.1616666666667,156
"164",295.938505747126,-36.1616666666667,155
"165",295.955287356322,-36.1616666666667,156
"166",295.972068965517,-36.1616666666667,153
"167",295.988850574713,-36.1616666666667,148
"168",296.005632183908,-36.1616666666667,149
"169",296.022413793103,-36.1616666666667,147
"170",296.039195402299,-36.1616666666667,148
"171",296.055977011494,-36.1616666666667,147
"172",296.07275862069,-36.1616666666667,146
"173",296.089540229885,-36.1616666666667,149
"174",296.10632183908,-36.1616666666667,148
"175",296.123103448276,-36.1616666666667,148
"176",296.139885057471,-36.1616666666667,147
"177",296.156666666667,-36.1616666666667,148
"178",295.183333333333,-36.1783333333333,242
"179",295.200114942529,-36.1783333333333,228
"180",295.216896551724,-36.1783333333333,229
"181",295.23367816092,-36.1783333333333,240
"182",295.250459770115,-36.1783333333333,238
"183",295.26724137931,-36.1783333333333,241
"184",295.284022988506,-36.1783333333333,240
"185",295.300804597701,-36.1783333333333,236
"186",295.317586206897,-36.1783333333333,235
"187",295.334367816092,-36.1783333333333,237
"188",295.351149425287,-36.1783333333333,238
"189",295.367931034483,-36.1783333333333,238
"190",295.384712643678,-36.1783333333333,234
"191",295.401494252874,-36.1783333333333,230
"192",295.418275862069,-36.1783333333333,227
"193",295.435057471264,-36.1783333333333,223
"194",295.45183908046,-36.1783333333333,224
"195",295.468620689655,-36.1783333333333,221
"196",295.485402298851,-36.1783333333333,220
"197",295.502183908046,-36.1783333333333,217
"198",295.518965517241,-36.1783333333333,215
"199",295.535747126437,-36.1783333333333,215
"200",295.552528735632,-36.1783333333333,210
"201",295.569310344828,-36.1783333333333,202
"202",295.586091954023,-36.1783333333333,189
"203",295.602873563218,-36.1783333333333,176
"204",295.619655172414,-36.1783333333333,170
"205",295.636436781609,-36.1783333333333,167
"206",295.653218390805,-36.1783333333333,173
"207",295.67,-36.1783333333333,174
"208",295.686781609195,-36.1783333333333,167
"209",295.703563218391,-36.1783333333333,169
"210",295.720344827586,-36.1783333333333,166
"211",295.737126436782,-36.1783333333333,167
"212",295.753908045977,-36.1783333333333,167
"213",295.770689655172,-36.1783333333333,167
